zipcode,state
83336,Idaho
83337,Idaho
83338,Idaho
83340,Idaho
83341,Idaho
83342,Utah
83343,Idaho
83344,Idaho
83346,Idaho
83347,Idaho
83348,Idaho
83349,Idaho
83350,Idaho
83352,Idaho
83353,Idaho
83354,Idaho
83355,Idaho
83401,Idaho
83402,Idaho
83403,Idaho
83404,Idaho
83405,Idaho
83406,Idaho
83414,Wyoming
83415,Idaho
83420,Idaho
83421,Idaho
83422,Idaho
83423,Idaho
83424,Idaho
83425,Idaho
83427,Idaho
83428,Idaho
83429,Idaho
83431,Idaho
83433,Idaho
83434,Idaho
83435,Idaho
83436,Idaho
83438,Idaho
83440,Idaho
83441,Idaho
83442,Idaho
83443,Idaho
83444,Idaho
83445,Idaho
83446,Idaho
83448,Idaho
83449,Idaho
83450,Idaho
83451,Idaho
83452,Idaho
83454,Idaho
83455,Idaho
83460,Idaho
83462,Idaho
83463,Idaho
83464,Idaho
83465,Idaho
83466,Idaho
83467,Idaho
83468,Idaho
83469,Idaho
83546,Idaho
83547,Idaho
83549,Idaho
83602,Idaho
83604,Idaho
83605,Idaho
83606,Idaho
83607,Idaho
83610,Idaho
83611,Idaho
83612,Idaho
83615,Idaho
83616,Idaho
83617,Idaho
83619,Idaho
83622,Idaho
83623,Idaho
83624,Idaho
83626,Idaho
83627,Idaho
83628,Idaho
83629,Idaho
83630,Idaho
83631,Idaho
83632,Idaho
83633,Idaho
83634,Idaho
83635,Idaho
83636,Idaho
83637,Idaho
83638,Idaho
83639,Idaho
83641,Idaho
83642,Idaho
83643,Idaho
83644,Idaho
83645,Idaho
83646,Idaho
83647,Idaho
83648,Idaho
83650,Idaho
83651,Idaho
83652,Idaho
83653,Idaho
83654,Idaho
83655,Idaho
83656,Idaho
83657,Idaho
83660,Idaho
83661,Idaho
83666,Idaho
83669,Idaho
83670,Idaho
83672,Idaho
83676,Idaho
83677,Idaho
83680,Idaho
83686,Idaho
83687,Idaho
83701,Idaho
83702,Idaho
83703,Idaho
83704,Idaho
83705,Idaho
83706,Idaho
83707,Idaho
83708,Idaho
83709,Idaho
83711,Idaho
83712,Idaho
83713,Idaho
83714,Idaho
83715,Idaho
83716,Idaho
83717,Idaho
83720,Idaho
83722,Idaho
83724,Idaho
83725,Idaho
83726,Idaho
83728,Idaho
83729,Idaho
83732,Idaho
83735,Idaho
83756,Idaho
83799,Idaho
83866,Idaho
84001,Utah
84002,Utah
84007,Utah
84008,Utah
84013,Utah
84021,Utah
84022,Utah
84023,Utah
84026,Utah
84027,Utah
84028,Utah
84031,Utah
84032,Utah
84034,Utah
84035,Utah
84038,Utah
84039,Utah
84046,Utah
84051,Utah
84052,Utah
84053,Utah
84061,Utah
84063,Utah
84064,Utah
84066,Utah
84069,Utah
84071,Utah
84072,Utah
84073,Utah
84076,Utah
84078,Utah
84079,Utah
84080,Utah
84083,Utah
84085,Utah
84086,Utah
84301,Utah
84304,Utah
84305,Utah
84306,Utah
84307,Utah
84308,Utah
84309,Utah
84311,Utah
84312,Utah
84313,Utah
84314,Utah
84316,Utah
84318,Utah
84320,Utah
84327,Utah
84329,Utah
84330,Utah
84331,Utah
84332,Utah
84333,Utah
84335,Utah
84336,Utah
84337,Utah
84338,Utah
84339,Utah
84501,Utah
84510,Utah
84511,Utah
84512,Utah
84513,Utah
84515,Utah
84516,Utah
84518,Utah
84520,Utah
84521,Utah
84522,Utah
84523,Utah
84525,Utah
84526,Utah
84528,Utah
84529,Utah
84530,Utah
84531,Utah
84532,Utah
84533,Utah
84534,Utah
84535,Utah
84536,Utah
84537,Utah
84539,Utah
84540,Utah
84542,Utah
84620,Utah
84621,Utah
84622,Utah
84623,Utah
84624,Utah
84626,Utah
84627,Utah
84628,Utah
84629,Utah
84630,Utah
84631,Utah
84632,Utah
84633,Utah
84634,Utah
84635,Utah
84636,Utah
84637,Utah
84638,Utah
84639,Utah
84640,Utah
84642,Utah
84643,Utah
84644,Utah
84645,Utah
84646,Utah
84647,Utah
84648,Utah
84649,Utah
84652,Utah
84654,Utah
84656,Utah
84657,Utah
84662,Utah
84665,Utah
84667,Utah
84701,Utah
84710,Utah
84711,Utah
84712,Utah
84713,Utah
84716,Utah
84724,Utah
84728,Utah
84729,Utah
84737,Utah
84741,Utah
84753,Utah
84755,Utah
84758,Utah
84773,Utah
85328,Arizona
85362,Arizona
85541,Arizona
85553,Arizona
85554,Arizona
85619,Arizona
85633,Arizona
85634,Arizona
85639,Arizona
85920,Arizona
85922,Arizona
85932,Arizona
85936,Arizona
85942,Arizona
86016,Arizona
86020,Arizona
86022,Arizona
86023,Arizona
86030,Arizona
86031,Arizona
86033,Arizona
86034,Arizona
86036,Arizona
86039,Arizona
86042,Arizona
86043,Arizona
86044,Arizona
86052,Arizona
86053,Arizona
86054,Arizona
86331,Arizona
86332,Arizona
86342,Arizona
86343,Arizona
86411,Arizona
86431,Arizona
86434,Arizona
86437,Arizona
86441,Arizona
86443,Arizona
86444,Arizona
86502,Arizona
86503,Arizona
86504,Arizona
86506,Arizona
86507,Arizona
86511,Arizona
86512,Arizona
86514,Arizona
86515,Arizona
86520,Arizona
86535,Arizona
86538,Arizona
86544,Arizona
86545,Arizona
86547,Arizona
88020,New Mexico
88040,New Mexico
88301,New Mexico
89001,Nevada
89003,Nevada
89008,Nevada
89010,Nevada
89013,Nevada
89017,Nevada
89018,Nevada
89020,Nevada
89022,Nevada
