Product SKU,,,,Product Description,Stock,NEW STATUS,Current Qty,Qty Sold,Price,Discounted Price,Supplier,Supplier Price,Alert Limit,Max LImit,Category,Sub-category,Factory
A002,H5,,,Florence Bench 3 Seaters Top Grain-Red,Non-Inventory,,0,0,2109,,SCTF-100,$238.00 ,,,Chairs,,Titahot
A002,J0,,,Florence Bench 3 Seaters Vintage Leather-Brown,Non-Inventory,,0,0,2449,,SCTF-100,$309.00 ,,,Chairs,,Titahot
A002,J5,,,Florence Bench 3 Seaters Vintage Leather-Caramel,Non-Inventory,,0,0,2449,,SCTF-100,$309.00 ,,,Chairs,,Titahot
A002,V0,,,Florence Bench 3 Seaters Aniline Leather-Black,Non-Inventory,,0,3,2279,,SCTF-100,$257.00 ,,,Chairs,,Titahot
A002,V1,,,Florence Bench 3 Seaters Aniline Leather-White,Non-Inventory,,0,0,2279,,SCTF-100,$257.00 ,,,Chairs,,Titahot
A002,V2,,,Florence Bench 3 Seaters Aniline Leather-Cream,Non-Inventory,,0,0,2279,,SCTF-100,$257.00 ,,,Chairs,,Titahot
A002,V3,,,Florence Bench 3 Seaters Aniline Leather-Dark Brown,Non-Inventory,,0,0,2279,,SCTF-100,$257.00 ,,,Chairs,,Titahot
A002,V4,,,Florence Bench 3 Seaters Aniline Leather-Beige,Non-Inventory,,0,0,2279,,SCTF-100,$257.00 ,,,Chairs,,Titahot
A002,V5,,,Florence Bench 3 Seaters Aniline Leather-Camel,Non-Inventory,,0,0,2279,,SCTF-100,$257.00 ,,,Chairs,,Titahot
A003,A0,,,Florence Relaxed Bench - 3 Seats Cashmere-Wheat Grey,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A1,,,Florence Relaxed Bench - 3 Seats Cashmere-Granite Dark Grey,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A2,,,Florence Relaxed Bench - 3 Seats Cashmere-Chartreuse Green,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A3,,,Florence Relaxed Bench - 3 Seats Cashmere-Snow White,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
A003,A4,,,Florence Relaxed Bench - 3 Seats Cashmere-Dijon Yellow,Discontinued,,0,0,1849,,SCBF-200,$210.00 ,,,Chairs,,Ytoom
